Predicted_X,Predicted_Y,True_X,True_Y
3.518588840961456299e-01,3.762309551239013672e-01,4.107204079627990723e-01,3.204338252544403076e-01
-5.260117053985595703e-01,1.166802942752838135e-01,-5.208567976951599121e-01,1.142345219850540161e-01
-4.452340304851531982e-02,2.783846557140350342e-01,-1.473379693925380707e-02,3.069953620433807373e-01
-1.427908241748809814e-01,-4.979323744773864746e-01,-1.390471905469894409e-01,-4.533894956111907959e-01
1.497386395931243896e-01,-8.983771204948425293e-01,1.475948542356491089e-01,-8.759405612945556641e-01
-3.539501130580902100e-01,7.586384564638137817e-02,-3.072868585586547852e-01,7.574027031660079956e-02
-3.520180583000183105e-01,5.213460326194763184e-02,-3.417878150939941406e-01,5.740450322628021240e-02
-9.130007028579711914e-01,-1.947358846664428711e-01,-8.715856671333312988e-01,-1.255919337272644043e-01
5.398027896881103516e-01,-1.282532811164855957e-01,5.270594954490661621e-01,-1.005713567137718201e-01
4.682585299015045166e-01,3.528810441493988037e-01,5.313751101493835449e-01,2.982946038246154785e-01
1.263818442821502686e-01,-8.791766762733459473e-01,1.219572424888610840e-01,-7.891707420349121094e-01
-3.877474367618560791e-01,1.125514507293701172e-01,-4.041221141815185547e-01,1.297936290502548218e-01
-4.498475044965744019e-02,-3.341988623142242432e-01,-8.470880985260009766e-02,-2.814857363700866699e-01
2.702187299728393555e-01,2.956903576850891113e-01,3.136376142501831055e-01,3.398751616477966309e-01
6.173513531684875488e-01,-7.398949265480041504e-01,6.345613598823547363e-01,-7.108718156814575195e-01
-5.218942165374755859e-01,2.917737662792205811e-01,-4.754108786582946777e-01,3.243802785873413086e-01
1.950527876615524292e-01,4.831874668598175049e-01,2.447786033153533936e-01,5.069665908813476562e-01
1.308805793523788452e-01,2.458171844482421875e-01,1.595516055822372437e-01,2.397881001234054565e-01
-3.991501927375793457e-01,1.235479563474655151e-01,-3.716251552104949951e-01,1.175313591957092285e-01
-8.588486909866333008e-01,4.590408504009246826e-01,-7.893402576446533203e-01,4.701152741909027100e-01
2.318913787603378296e-01,-2.584886550903320312e-01,2.287232875823974609e-01,-2.546570599079132080e-01
8.341259360313415527e-01,1.618161499500274658e-01,8.329888582229614258e-01,2.413546741008758545e-01
